record,time,latitude,longitude,satellites,altitude_m
1,1900-01-01 01:00:00,21.07359166666667,105.77632166666666,9,15.0
2,1900-01-01 01:00:10,21.07364166666667,105.77637166666666,9,15.0
3,1900-01-01 01:00:20,21.073691666666665,105.77642166666668,9,15.0
4,1900-01-01 01:00:30,21.073741666666667,105.77647166666665,9,15.0
5,1900-01-01 01:00:40,21.07379166666666,105.77652166666667,9,15.0
6,1900-01-01 01:30:50,21.06634,105.77629333333334,9,15.0
7,1900-01-01 01:31:00,21.066390000000002,105.77634333333332,9,15.0
8,1900-01-01 01:31:10,21.066439999999997,105.77639333333333,9,15.0
9,1900-01-01 01:31:20,21.066489999999998,105.77644333333335,9,15.0
10,1900-01-01 01:31:30,21.06654,105.77649333333332,9,15.0
11,1900-01-01 02:01:40,21.076233333333334,105.76820166666667,9,15.0
12,1900-01-01 02:01:50,21.076283333333336,105.76825166666667,9,15.0
13,1900-01-01 02:02:00,21.07633333333333,105.76830166666666,9,15.0
14,1900-01-01 02:02:10,21.076383333333336,105.76835166666666,9,15.0
15,1900-01-01 02:02:20,21.07643333333333,105.76840166666668,9,15.0
16,1900-01-01 02:32:30,21.07020166666667,105.77620833333334,10,15.0
17,1900-01-01 02:32:40,21.070251666666664,105.77625833333335,10,15.0
18,1900-01-01 02:32:50,21.07030166666667,105.77630833333333,10,15.0
19,1900-01-01 02:33:00,21.07035166666667,105.77635833333333,10,15.0
20,1900-01-01 02:33:10,21.070401666666665,105.77640833333335,10,15.0
21,1900-01-01 03:03:20,21.067908333333335,105.77731,10,15.0
22,1900-01-01 03:03:30,21.06795833333333,105.77736000000002,10,15.0
23,1900-01-01 03:03:40,21.068008333333335,105.77740999999999,10,15.0
24,1900-01-01 03:03:50,21.068058333333337,105.77746,10,15.0
25,1900-01-01 03:04:00,21.06810833333333,105.77751000000002,10,15.0
26,1900-01-01 03:34:10,21.066683333333337,105.773915,9,15.0
27,1900-01-01 03:34:20,21.06673333333333,105.77396500000002,9,15.0
28,1900-01-01 03:34:30,21.066783333333333,105.77401499999999,9,15.0
29,1900-01-01 03:34:40,21.06683333333334,105.77406500000001,9,15.0
30,1900-01-01 03:34:50,21.066883333333333,105.77411500000001,9,15.0
31,1900-01-01 04:05:00,21.071835000000004,105.777725,7,15.0
32,1900-01-01 04:05:10,21.071884999999998,105.77777499999999,7,15.0
33,1900-01-01 04:05:20,21.071935,105.77782499999999,7,15.0
34,1900-01-01 04:05:30,21.071985,105.77787500000001,7,15.0
35,1900-01-01 04:05:40,21.072034999999996,105.777925,7,15.0
36,1900-01-01 04:35:50,21.078085,105.77776666666665,10,15.0
37,1900-01-01 04:36:00,21.078134999999996,105.77781666666667,10,15.0
38,1900-01-01 04:36:10,21.078185,105.77786666666667,10,15.0
39,1900-01-01 04:36:20,21.078235000000003,105.77791666666666,10,15.0
40,1900-01-01 04:36:30,21.078284999999997,105.77796666666667,10,15.0
41,1900-01-01 05:06:40,21.080458333333333,105.76585333333333,10,15.0
42,1900-01-01 05:06:50,21.080508333333334,105.76590333333334,10,15.0
43,1900-01-01 05:07:00,21.080558333333336,105.76595333333334,10,15.0
44,1900-01-01 05:07:10,21.08060833333333,105.76600333333333,10,15.0
45,1900-01-01 05:07:20,21.080658333333336,105.76605333333333,10,15.0
46,1900-01-01 05:37:30,21.07579333333333,105.76700000000001,11,15.0
47,1900-01-01 05:37:40,21.075843333333335,105.76704999999998,11,15.0
48,1900-01-01 05:37:50,21.075893333333337,105.7671,11,15.0
49,1900-01-01 05:38:00,21.07594333333333,105.76715,11,15.0
50,1900-01-01 05:38:10,21.075993333333333,105.76719999999999,11,15.0
51,1900-01-01 06:08:20,21.0792,105.76448666666666,12,15.0
52,1900-01-01 06:08:30,21.079250000000002,105.76453666666666,12,15.0
53,1900-01-01 06:08:40,21.079299999999996,105.76458666666667,12,15.0
54,1900-01-01 06:08:50,21.079349999999998,105.76463666666665,12,15.0
55,1900-01-01 06:09:00,21.079400000000003,105.76468666666666,12,15.0
56,1900-01-01 06:39:10,21.07505,105.77645166666667,10,15.0
57,1900-01-01 06:39:20,21.0751,105.77650166666666,10,15.0
58,1900-01-01 06:39:30,21.07515,105.77655166666666,10,15.0
59,1900-01-01 06:39:40,21.075200000000002,105.77660166666668,10,15.0
60,1900-01-01 06:39:50,21.075249999999997,105.77665166666665,10,15.0
61,1900-01-01 07:10:00,21.073958333333334,105.76971166666665,10,15.0
62,1900-01-01 07:10:10,21.074008333333335,105.76976166666667,10,15.0
